	Original Data (Indonesian)	Translated Data Into English	Sentiment	Emotion
103	Bagus tapi perlu diperbaiki soal setirnya agak diperbesar dikit dan setir mutarnya telat gak responsif dgn gerak sentuh jari saat putaran belok kanan kiri seperti ada ngelag,udah di putar tapi suka telat gak muter setirnya,jari jempol hrs agak di tekan ke layar,kadang malah jadi sering kelebihan atau telat gak mutar ngikutin arah gerakan jari,jadi suka nabrak sana sini..perbaiki kontrol handling setirnya krn utk game simulator kontrol itu nomor 1,terpaksa uninstal dulu cari yg nyaman kontrolnya 	It's good, but it needs to be fixed, the problem is that the steering wheel is a little enlarged and the steering wheel is late, it's not responsive with the touch of the finger when turning right and left, it looks like there's a lag, it's been turned, but it tends to be late, it doesn't turn the steering wheel, the thumb has to be pressed a bit to the screen, sometimes it actually becomes often too late or too late to not follow the direction of finger movement, so it likes to crash here and there ... improve the handling control of the steering wheel because for the control simulator game it is number 1, you have to uninstall it first, look for a comfortable control	Negative	Sad
104	Bagusan sebelum di update.. Jalannya jadi kecil aspal hitam ilang Setir susah di kontrol Narik penumpang cuma di terminal doang..di jalan jadi ga ada. Terus pungsi pintunya buat apa.. dah gitu aja.. 	It was good before the update... The road is so small that the black asphalt is gone. What do you do with the door... just like that...	Negative	Sad
105	Banyak Bojongnya.simpan no hp begitu di chat ga pernah balas 	There are lots of Bojongnya. Save cellphone numbers once in chat, never reply	Negative	Sad
106	berkali kali unggah foto maunya foto yg gimnaa 	how many times have you uploaded photos?	Negative	Sad
107	Bgmna mau knln chatnya aj sngt terbatas.. 	How can I get to know the chat, it's really limited..	Negative	Sad
108	Bug nya benarkan lagi sulit kalo uda ngelek 	The bug justifies that it's even more difficult if you're tired	Negative	Sad
109	Bus orinya nya itu itu aja bosan, kalo di bawa ngebut terus di belokin suka nge drift, pengen yang jb3 terus ada smoking areanya dan mode pariwisatanya pada deket. 	The original bus just got boring, if you drive it at speed it keeps turning around like to drift, I want the JB3 to have a smoking area and a tourism mode close by.	Negative	Sad
110	Bussid sebenarnya game bua simulator terbaik .. Tapi knp yah sekarang sering Loding dan ngelag parah.. sudah kayak gitu banyak pemain game bussid yg cepat keluar room .. Loding dan ngelagnya yang lama2 bikin stres 	Bussid is actually the best simulator game.. But why now is it often loading and lagging badly.. it's like that, many bussid game players quickly leave the room..Loding and lagging for a long time make it stressful	Negative	Sad
111	Bussid sekarang dh bagus cuman banyak bgt bugnya..dlu nglayap masih bisa dri jakarta ke pel bakau tnpa mampir trminal tpi sekarang harus mmpir dlu ke terminal baru bisa loading map trs dri arah sebaliknya jga bsa dri pel bakau ke jakarta pas dimerak malah nabrak tembok gaib gk bisa loading map..mohon di fix soalnya menggangu bgt 	Bussid is now good, but there are lots of bugs.. before you could fly from Jakarta to the mangrove mop without stopping by the terminal, but now you have to stop by the terminal and then you can load the map from the opposite direction, you can also go from the mangrove mop to Jakarta, when it is broken, it crashes into a magical wall I can't load the map... please fix it, it's really annoying	Negative	Sad
112	Control tilt nya nggak responsif saat ingin berbelok, suka nge delay dulu saat akan berbelok,hal ini membuat saya tidak nyaman untuk memainkan game bussid dengan control tilt 	The tilt control is unresponsive when I want to turn, it tends to delay first when I'm about to turn, this makes me uncomfortable playing bussid games with tilt control	Negative	Sad
113	dari tahun 2019 sampan da masuk tahun 2023 map nya itu itu aja,membosan kan bus simulator Indonesian ini g ada pembaruan nya. 	from 2019 to and into 2023 the map is just that, it's boring, isn't there an update for this Indonesian simulator bus.	Negative	Sad
114	Dear . Sebenernya update bussid ini niat gak ? Pertama update 3.7 tilt nya over. Sekarang 3.7.1 malah kurang sensitif. Yakinlah, faktor penting dari sebuah game itu kita harus nyaman dulu. Percuma dongg maps di banyakin kalo gitu 	dear . Do you actually intend to update this bussid? First, update 3.7, the tilt is over. Now 3.7.1 is even less sensitive. Rest assured, the important factor of a game is that we must be comfortable first. It's useless, please add more maps if that's the case	Negative	Sad
115	Developer nya kaya gak serius benahin bug di update sebelumnya. Kemaren tilt nya sensitif, ini malah kaku bgt. Jadi update ratusan mb itu progress lain selain mode parawisata apa ? Banyakin maps gak akan guna selama gammer gak nyaman, terlebih perkara nyetir. Dibandingin game sebelah juga lebih mateng sebelah. Download juga hanya karena cinta produk lokal, bukan karena emang lebih bagus. 	It's like the developer wasn't serious about fixing bugs in the previous update. Yesterday the tilt was sensitive, this one is really stiff. So, updating hundreds of mb is another progress besides the tourism mode, what is it? Lots of maps won't work as long as the gamer isn't comfortable, especially when it comes to driving. Compared to the next game, it's also more mature next door. Download it just because you love local products, not because it's any better.	Negative	Sad
116	Download 6 mb aja lama,,kenapa sih? Apa sinyal nya nih 	Downloading 6MB just takes a long time, why is that? What's the signal?	Negative	Sad
117	Gak lengkap. Transfer internasionalnya gak tersedia USD, padahal USD paling banyak digunakan. Selain itu, tidak bisa simpan rekening Bank Artoz/Jago dan E-wallet (GoPay). 	Not complete. USD is not available for international transfers, even though USD is the most widely used. In addition, you cannot save Artoz/Jago and E-wallet (GoPay) accounts.	Negative	Sad
118	Game lumayan bagus tpi 1 yg sangat mengecewakan ada iklan yg gak bisa di silang mohon lah pada devoler Bussid untuk memberikan iklan jangan seperti itu sangat menyusahkan 	The game is pretty good but 1 thing that is very disappointing is that there are ads that can't be crossed, please the Bussid devoler to provide ads, don't be like that, it's very troublesome	Negative	Sad
119	Game ny sudah bagus cuma ya tolong iklan domino nya hilang kan itu sangat mengganggu karena tidak bisa di skipp 	The game is good, but please help the domino ad disappear, it's very annoying because it can't be skipped	Negative	Sad
120	game nya bagus gerafik nya juga bagus dibandingkan game yang lain tapi iklannya sangat mengganggu tolong di kurangi iklannya 	the game is good the graphics are also good compared to other games but the ads are very annoying please reduce the ads	Negative	Sad
121	Game nya patah patah. Nggak enak di mainkan. Tolong perbaiki, permainan sudah bagus. Cuma patah patah nya sangat mengganggu 	The game is broken. Not good to play. Please fix, the game is already good. It's just that the fracture is very annoying	Negative	Sad
122	Game nya selalu keluar setiap loading map tarus patah -patah game nya harus di update lagi grafik nya udh bagus yg harus di update kalo loading map pasti keluar ga jelas 	The game always comes out every time the map is loaded, then the game is broken, it has to be updated again, the graphics are good, which must be updated, if loading the map, it will definitely come out unclear	Negative	Sad
123	Game nya udah bagus bagus baget malahan. Tapi iklan nya aja agak masalah sebagian ada iklan yang loading doang jadi aku itu harus relog atau keluar dulu dan masuk lagi ke dalam in game nya. Saya tergaggu dengan iklan seperti itu. Kalo bisa di ganti ya dev 	The game is already good, really good. But the ads are a bit of a problem, some of the ads are just loading, so I have to relog or exit first and enter the game again. I am disturbed by such advertisements. If you can replace it, dev	Negative	Sad
124	Gamenya gk kaya dulu lagi,dulu kalo main lngsng main, skrng nunggu loading malah keluar sendiri ,sama jalur dari Bandung dan arah Gilimanuk sama Denpasar gk bisa ditempuh,malah keluar sendiri kalo loading,maaf developer kalo game ini gk bisa dimainkan lgi terpaksa saya uninstal,pdhl dari dulu saya mainin ini game terus, dari HP saya yang dulu rusak sampek punya HP baru lagi, download lgi + diupdate, eh malah gk bisa dimainin, kalo dah diperbaiki saya pasti akan download lg nih game,makasih 	The game isn't as good as it used to be, before when I played it, I played it right away, now I'm waiting for it to load, but it comes out on its own, the same route from Bandung and the direction to Gilimanuk and Denpasar can't be reached, it even comes out on its own when loading, sorry the developer, if this game can't be played again, I have to uninstall it , even though I've always played this game, from my cellphone that used to be broken until I have a new cellphone again, download it again + update, uh I can't even play it, if it's been repaired I will definitely download this game again, thanks	Negative	Sad
125	gangguang mulu 	mouth disturbance	Negative	Sad
126	gemblong,di kira gratis,ee widhraw malah kena admin 	gemblong, thought it was free, ee widhraw even got hit by admin	Negative	Sad
127	super lemot aplikasinya, balas text susah,ga nyaman, ga selancar twiter,facebook,instagram dll. silahkan lihat di log aktivitas. masih banyak alternatif medsos lain yg menawarkan kemudahan,akseleratif n dinamis. per 5jul 2019,, jadi bagus aplikasinya,,responsive berarti adminya,,terbuka menerima saran n kritik. kasih bintang lima kalo bgitu 	the application is super slow, replying to text is difficult, uncomfortable, not as smooth as Twitter, Facebook, Instagram etc. please look at the activity log. there are still many other social media alternatives that offer convenience, accelerative and dynamic. as of July 5 2019,, the application is good,, responsive means the admin,, is open to receiving suggestions and criticism. give five stars then	Negative	Sad
128	Tampilan bus ori bussid membosankan, kalau bisa di upgrade dong interior dan eksteriornya. Mode malam agar di buat lebih gelap lagi supaya lebih seru. Dan diberikan mode orang orang nyeberang jalan, mode kemacetan di pasar, mode bus rusak, kaca pecah dll kalau tertabrak gitu. Tombol sein jangan di atas setir kalau bisa diletakan di sekitar rem atau pedal gas soalnya rada ribet kalau mau sein sambil berbelok. Thx 	The appearance of the original bussid bus is boring, if you can upgrade the interior and exterior please. Night mode to make it even darker to make it more exciting. And given the mode of people crossing the road, traffic jam mode in the market, broken bus mode, broken glass etc. if you get hit like that. Don't put the turn signal button on the steering wheel, if you can place it near the brake or gas pedal, it's a bit tricky to turn while turning. thx	Negative	Sad
129	Tdak ada pungsi nya 	There's no function	Negative	Sad
130	TOLONG DIPERBAIKI DONG: setiap kali mau mabar saat sdh mau start, saya selalu keluar sendiri dari game, itu knp ya 	PLEASE FIX IT PLEASE: every time I want to play when I'm about to start, I always exit the game myself, that's why	Negative	Sad
131	TOLONG dong kok pas hp ram 2 gk bisa di mainin ya tolong perbaiki karna saya dari dulu ingin sekali memainkan game busid ini pliss tolong perbaiki. 	PLEASE how come when the HP RAM 2 can't be played, please fix it because I've always wanted to play this busid game, pls help fix it.	Negative	Sad
132	Tolong perbaiki bug jika loading map selalu keluar sendiri.ini sangat mengganggu..tolong diperbaiki bug yang kaya gitu.itu sangat mengganggu saat bermain 	Please fix the bug if the loading map always comes out on its own. this is very annoying.. please fix bugs like that. it's very annoying when playing	Negative	Sad
133	Untuk map udah bagus.. tapi ketika main mode pariwisata masih ada bug di bagian pelabuhan lebih tepatnya di bagian kapal.. Sudah 5X lebih saya kena bug di pelabuan.. Mohon untuk segera di perbaiki 	The map is good... but when playing tourism mode there is still a bug in the harbor section to be more precise in the ship section... I have had bugs at the port more than 5 times... Please fix it as soon as possible	Negative	Sad
134	Update buat apa bug masih ada.malah tuh gua modif pas besok nya malah ngebug ilang sampai sekarang belum di balikin 	Update for what the bug is still there. In fact, I modified it right the next day, the bug disappeared, until now it hasn't been returned	Negative	Sad
135	"Wktu mau pindah peta, kn ada iklan, sesudah iklan, tiba"" bus nya berubah hitam sama jalan nya g jelas, agak eror, dn sya hrs bolak balik ngeraply game. Udh gt kl mau lanjut loading + ada iklan nya lagi, nambah lama, blm lagi eror yg kyk sya sebutin tdi. Mohon di perbaiki. "	"When I want to move the map, there are advertisements, after the advertisements, it arrives ""the bus turns black and the road is not clear, it's a bit erroneous, and I have to go back and forth to rapping the game. It's okay when I want to continue loading + there are ads again, it takes longer, I haven't got the error I mentioned earlier. Please fix it."	Negative	Sad
136	Ya bagus, cuma blum apa² sudah minta bayaran.. 	Yes, it's good, it's just that you haven't asked for payment yet..	Negative	Sad
137	Aku terkena tipu melalui app ini, tapi untung Tuhanku dengan Aplikasi ini membantuku sampe akhirnya milikku menjadi milikku lagi, jangan berhenti untuk selalu meminta pertolongan. Tak ada yang tau apa terjadi esok. Terima kasih untuk yang membantu saya sampe saat ini. Sukses Selalu 	I was tricked through this app, but luckily my God with this application helped me until finally what was mine was mine again, don't stop always asking for help. Nobody knows what will happen tomorrow. Thanks for helping me until now. Good luck for the future	Negative	Sad
138	Akun saya kok tidak bisa bwt login kenapa ya? 	Why can't my account be logged in, why?	Negative	Sad
139	Aneh ko jd gak bisa di buka ni vpn Aq unistal deh 	It's strange, how come I can't open this VPN, I installed it	Negative	Sad
140	Aplcs nya hy modus doang apa bnr2 asli ni org2nya utk bnr2 diajk tmn/jodoh??kl seandai bnr2 asli ni aplcs utk cari jodoh,pasti ane langs ks bintg 5 	The app is just a mod, are these really genuine people for real friends/matchmaking??	Negative	Sad
141	"Aplikasi apaan nih ? . Padahal kamera saya normal normal aja . Tapi kok pas mau verifikasi ada pemberitahuan "" kegagalan teknis kamera "" mohon diperbaiki ini aplikasi jangan PHP . "	"What's this application? . Even though my camera is normal. But how come when I want to verify, there is a notification ""technical camera failure"", please fix this application, don't use PHP."	Negative	Sad
142	Bagi yang ingin transaksi cepat. Sangat tidak disarankan untuk menggunakan aplikasi ini. 1 jam setelah transfer & konfirmasi top up shopeepay & gopay tapi saldonya belum masuk juga. 	For those who want fast transactions. It is highly not recommended to use this application. 1 hour after the transfer & top up confirmation of shopeepay & gopay but the balance hasn't come in either.	Negative	Sad
143	Maaf ya sebelum nya saya mau nanya saya beberapa kali tranfer uang ke rekening atas nama oy Indonesia tpi saya malah di suruh like beberapa produk olshop dan sampe sekarang uang saya tidk kembali kata orang hars isi lgi agar dana bisa di cairkan.. Apa kah saya tertipu dan orng tersebut tidak ada bekerja sama dengan oy Indonesia trimakasih 	Sorry, before I wanted to ask, I transferred money several times to an account in the name of Oy Indonesia, but instead I was told to like some olshop products and until now my money hasn't come back, people say I have to fill it in again so the funds can be disbursed. Am I being deceived? and that person doesn't work with oy Indonesia thank you	Negative	Sad
144	Makin kemari sy sadar dan perhatikan bahwa media dan barat umumnya sudah double standard dan tidak fair cenderung tendensius, JD sy uninstall.. 	The more I came here, I realized and noticed that the media and the West generally have double standards and are not fair, tend to be tendentious, so I uninstalled it..	Negative	Sad
145	Tambahin riwayat pencarian dongg! 	Add search history please!	Negative 	Fear
146	"Udah bagus tapi coba bus yg di garasi di tambah lagi pake sinar jaya budiman apa op haryanto sama truck"" nya masa cuman itu"" aja coba kasih trcuk cabe apa trcuk krodong biar makin seru waktumain online banyak pelari cepat di jalan "	"It's good, but try the bus that's in the garage, add more rays using Jaya Budiman, what's the op Haryanto and the truck, ""just that"" just try giving chili peppers or krodong trucks so that it's even more exciting when playing online, there are lots of fast runners on the road"	Negative 	Fear
147	terlalu ribet cuma untuk main naik ke level selanjutnya.. sekalian aja ini game jadi berbayar.. karena gameny kelewat susah.. 	it's too complicated just to play to the next level.. at the same time, this game is a paid game.. because the game is too difficult..	Negative 	Sad
148	Terlalu sering muncul iklan, bahkan ada yang tidak bisa di skip hingga harus log out game. Terus steering nya kurang smooth, masih ada jeda sepersekian detik saat kita memiringkan hp. Kecil tapi meresahkan, harap segera diperbaiki 	Ads appear too often, some can't even be skipped so you have to log out of the game. Then the steering is not smooth, there is still a split second delay when we tilt the cellphone. Small but troubling, please fix it soon	Negative 	Sad
149	Berita nya terlalu berat sebelah.kurang netral. 	The news is too one-sided. Not neutral.	Negative 	Sad
150	Bang gip alok bang Bang gip alok bang Anjay alok wahahahahabjsnsiajsn.. 	Bang gip alok bang Bang gip alok bang Anjay alok wahahahahabjsnsiajsn..	Neutral	Neutral
151	Banyak iklan nya 	Lots of ads	Neutral	Neutral
152	Buat orang yg sering bilang lagi proses download game nya offline atau online udh jelas offline baca tulisan nya huu 	For people who often say that the game download process is offline or online, it's clear that it's offline, read the writing, huu	Neutral	Neutral
153	Buat update 3.7 ini sudah sangat bagus Map nya grafik nya tapi saya kalo main pas sedang menunggu loding map atau pas mau mulai pasti ada iklan yang gambar nya hitam dan tidak ada tanda silang (×) untuk men selikip iklan dan saya sangat terganggu dengan iklan itu terimakasih 	For update 3.7, the map is very good, the graphics are good, but if I play while I'm waiting for the map to load or when I want to start, there must be an ad with a black image and no cross (×) to insert an ad and I'm very disturbed by that ad Thank You	Neutral	Neutral
154	Butut Prank bagus bgt 	Butt Prank is really good	Neutral	Neutral
155	Cok 	Choke	Neutral	Neutral
156	Cukup Karen Babi 	Enough Karen Pig	Neutral	Neutral
157	Fucek 	Fuck	Neutral	Neutral
158	Gabisa di buka 	Cannot be opened	Neutral	Neutral
159	game nya banyak iklan tolong dikurangi atau dihilangkan iklannya 	the game has a lot of ads, please reduce or remove the ads	Neutral	Neutral
160	Game sangat penting untuk dilakukan pemeriksaan terhadap tersangka yang aku lakukan ini w ada yang rawat jalan dan jembatan gantung termegah di Indonesia dan Malaysia yang rawat intensif dengan cara ini buk buk ini w yang aku rasakan sensasi naik aja ko bisa aku aku ini aku mau aku tidak tahu harus berkata aku mendengar suara itu indah ustadz dan jembatan yang aku rasakan sensasi aja gan ya e dan jembatan ini min young dan jembatan yang menghubungkan komputer yang o yang rawat INAPA yang 	Games are very important to examine suspects, what I'm doing is that there are outpatients and the grandest suspension bridges in Indonesia and Malaysia that are in intensive care in this way, thump thunk, what I feel is the sensation of going up, how come I can do this, I want I don't know what to say i heard that voice it's beautiful ustadz and the bridge that i feel is just a sensation bro e and this bridge min young and the bridge that connects the computer o who is treating INAPA who	Neutral	Neutral
161	Game yang sangat nanggung buat saya.. Khusus nya di fitur Narik yang harus menggunakan Kuota Internet. Lalu fitur lainnya.. Dan saya yakin rata rata User yang mendownload ini karena untuk menghilangkan rasa penasarannya dengan Mod yang ia lihat.. Contohnya : Modifikasi. Mulai dari menggunakan Strobo, Klakson, livery dll dsb.. Bukan karena gamenya itu seru yang bisa membuat User itu betah setidaknya bermain hingga 1 jam lamanya. 	The game is very bearable for me.. Especially in the Interesting feature, which must use Internet Quota. Then other features.. And I'm sure the average user who downloads this is to get rid of his curiosity about the Mod he sees.. For example: Modification. Starting from using Strobes, horns, livery etc. etc... Not because the game is fun that can make the user feel at least playing for up to 1 hour.	Neutral	Neutral
162	gamenya bagus cuma banyak iklan dan banyak macet digame busit ini 	the game is good, but there are lots of ads and lots of traffic jams in this bussid game	Neutral	Neutral
163	Gameplay nya saya suka sekali, apalagi ada jalan tersembunyi jadi mendekati game open world, kalau bisa beri jalan tersembunyi yang lebih extreme seperti pada map mod, biar bisa adu skill saat mabar, Iklan di loading map sangat meresahkan!, Mohon dikurangi! Apalagi iklan video, ketika di (x) malah masuk link. ketika belok masih kurang halus, setir terlalu sensitif, pengaturan sensitifitas tidak bekerja/gak ngaruh sama sekali. Satu lagi mode mabar harusnya bayarnya kalo sudah nemu room. 	I really like the gameplay, moreover there is a hidden path so it's close to an open world game, if you can give a hidden path that is more extreme like in the map mod, so you can compete skills when you're moving, Ads on the loading map are very disturbing!, Please reduce it! Moreover, video ads, when in (x) instead enter the link. when turning is still not smooth, the steering wheel is too sensitive, the sensitivity setting doesn't work/ doesn't affect it at all. One more mabar mode, you have to pay when you find a room.	Neutral	Neutral
164	Gem online atau offline aku nggak akan main aku kasih bintang lima gem ya nggak online 	Gems online or offline, I won't play, I'll give five gem stars, it's not online	Neutral	Neutral
165	Tambah besar saja penyimpanannya. Bikin lemot 	Just increase the storage. Make it slow	Neutral	Neutral
166	tolong kalo kita di jalan tanjakan bawa truck tribal kan pelan tarikan nya berat.yg belakang kok nabrak nabrak ga kesabaran itu saya risih banget saya akui game ini bagus tapi yaitu minus nya.oiya lebih bagus kalo misalnya bus nya bisa kotor dan bisa di cuci di pencucian gitu warung makanan pun bisa di kunjungi orang orang di pinggir jalan juga di bikin suapaya lebih real lagi udasih itu aja permintaan saya 	please, if we are on an incline, bring a tribal truck, slowly, the pull is heavy. the one behind it, how come it crashes, it doesn't have patience, I'm really uncomfortable, I admit this game is good, but that is the minus. washing, so food stalls can be visited by people on the side of the road, they can also be made to make it more real, that's all my request	Neutral	Neutral
167	Tolong Buat Para Untuk Di Perbaiki Lagi Jalur NPC Nya. Kadang-Kadang NPC Nya Bug Gak Mau Jalan Padahal Tidak Ada Lampu Merah. Bikin Stuck / Macet Aja. Bagi Ku Sangat Mengganggu Sekali 	Please make the NPC path repaired again. Sometimes the NPC Bug won't walk even though there's no red light. Just make it stuck. For Me Very Disturbing Once	Neutral	Neutral
168	Tolong bug stir nya di perbaiki,, sensitit setir nya ga ngefek banget.. Sama ajah 	Please fix the steering bug, the steering wheel is sensitive, it doesn't really have an effect... It's the same	Neutral	Neutral
169	Tolong lakukan hal yang ku inginkan ini yaitu, update untuk bisa multiplayer menggunakan mod, lihat map dan perbaiki 4 hal ini :1.bis nabrak pohon atau tanaman kecil aja bis nya yang kalah, 2.buat game ini bisa bebas kemana mana, 3.atasi bug bug ngeselin,4.buat game ini juga biar lebih real, pasti kalo lebih nyata game nya kan lebih menyenangkan mulai dari grafik dan bentuk rumah apalagi kalo bisa rumah nya sangat nyata seperti aslinya pasti lebih seru.. 1 tahun g update 	Please do the thing I want, namely, update to be able to multiplayer using mods, look at the map and fix these 4 things: 1. the bus crashes into a tree or a small plant, the bus loses, 2. makes this game free to go anywhere, 3. fix annoying bugs, 4. make this game more real too, of course if it's more real the game is more fun starting from the graphics and the shape of the house especially if you can make the house very real like the original it will be more exciting.. 1 year g update	Neutral	Neutral
170	Tolong perbaiki jalur map di Banyuwangi, kalo lewat map Banyuwangi pasti tidak akan bisa keluar ditambah petunjuk map nya juga putus , padahal udh sampe tempat loading map , Masi aja GK bisa keluar 	Please fix the map path in Banyuwangi, if you go through the Banyuwangi map you definitely won't be able to get out plus the map instructions are also broken, even though you have arrived at the loading map, still can't get out	Neutral	Neutral
171	Tolonglah iklannya di kurangin, setiap loading map pasti ada iklan. sama satu lagi pas loading map itu lama banget loadingnya tolong di perbaiki 	Please reduce the ads, every loading map there must be ads. the same as the other one when loading the map it takes really long to load, please fix it	Neutral	Neutral
172	Untuk apdate kali ini memang sangat di nanti kan tapi ada berapa bug yang menjengkelkan yaitu saat akan mabar saya membuat romnya tapi tidak di temukan oleh teman saya dan bergantian teman saya yang buat saya mencari memang iya error ga ada romnya dan orang 2 romnya pada hilang sendiri terus muncul lagi 	For the update this time, it's really looking forward to it, but there are a number of annoying bugs, namely when it's going to be messy, I made the ROM but my friend didn't find it and it took turns for my friend to make me look for it, yes, the error doesn't have a ROM and the 2 people on the ROM disappeared by themselves keep showing up again	Neutral	Neutral
173	Untuk kontrol stirnya masih kurang halus.. 	The steering wheel control isn't smooth enough...	Neutral	Neutral
174	Untuk update an kali memang sangat dinantikan, tapi ada satu bug yang temukan, yaitu bug di iklan yang dimana iklan tersebut tidak dapat muncul videonya (terdapat pada loading map) padahal koneksi lancar. Minta tolong pada pihak untuk memperbaiki karena bugnya sangat menjengkelkan 	For updates, I really look forward to it, but there was one bug that was found, namely a bug in the ad where the video cannot appear (found on the loading map) even though the connection is smooth. Ask for help to fix because the bug is very annoying	Neutral	Neutral
175	Untuk update kali ini sudah bagus tapi ada bug yang sangat menjengkelkan seperti saat menggunakan bus bimasena sdd pada saat berhenti di lampu merah mka kendaraan yang lain akan menabrak dari belakang. Makasih semoga bisa di perbaiki secepatnya 	The update this time is good, but there are very annoying bugs, such as when using the Bimasena bus, when it stops at a red light, another vehicle will crash from behind. Thank you, hopefully it can be fixed as soon as possible	Neutral	Neutral
176	Update nya gk bener, lagi main terus pas loading map malah berhenti di tengah tengah loading 	The update isn't correct, when I'm playing it keeps on loading the map instead it stops in the middle of loading	Neutral	Neutral
177	Update terbaru nya udah mantap,tapi sayang mabar nya error,game ini kalo Error Mabarnya bakan membosankan Tolong cepat d perbaiki 	The latest update is great, but it's a shame there are errors, this game if the Mabar error is boring, please fix it quickly	Neutral	Neutral
178	Update yg cukup memuaskan tetapi ada beberapa bug yg cukup mengesalkan salah satu fore close sendiri padahal tidak device lumayan bagus dan baru beli mohon di perbaiki 	The update is quite satisfying but there are some bugs which are quite annoying, one of the fore closes itself even though it's not a pretty good device and just bought, please fix it	Neutral	Neutral
179	Updetan 3.7 dah bagus tapi kenapa apk sering keluar sendiri dan itu terus menjadi pengganggu dalam permainan mohon untuk di perbaiki lagi 	Update 3.7 is good but why does the apk often come out on its own and it continues to be a nuisance in the game, please fix it again	Neutral	Neutral
180	Apakah benar aplikasi indonesia mengadakan undian dr 1-99 Dan apakah benar hadiah itu ada atau hanya bohongan mohon di konfirmasi 	Is it true that the Indonesian application is holding a lottery from 1-99 and is it true that there is a prize or is it just a hoax, please confirm	Neutral	Neutral
181	"Apk nya bagus Tp tolong hati"" juga buat pengguna nya, Banyak unsur penipuan Banyak pula yg ngajakin vcs/bo Karena saya di sni nyari buat seriusan. "	The apk is good, but please be careful for the users too. There are lots of elements of fraud. Many are asking for vcs/bo. Because I'm here looking for something serious.	Neutral	Neutral
182	apk nya membingungkan 	the apk is confusing	Neutral	Neutral
183	aplikasinya ko ga bs dibuka,diam dilogo mohon kenapa bisa begitu 	how come the application can't be opened, it's stuck on the logo, please why is that so	Neutral	Neutral
184	Aplikasinya nagus cuma tidak tau alamat penhungjung tolong di perbaikan lagi kendala kekurangan trims 	The application is good, I just don't know the address of the visitor, please fix it again, the problem is lacking, thanks	Neutral	Neutral
185	Aplikasinya suka keluar sendiri. 	The app likes to exit on its own.	Neutral	Neutral
186	Area hutan buat semakin gelap kalo malam, buat semakin suram. kasih jalan yg sempit tp bisa dilalui kendaraan (biar kalo lagi gabut bisa jalan²) itu aja, maaf jika kurang jelas, jika ingin lebih jelas sleep call aj 	Make the forest area darker at night, make it even darker. give me a narrow road but vehicles can pass it (so if you're stuck you can walk around) that's all, sorry if it's not clear, if you want more details just call sleep	Neutral	Neutral
187	Assalamualaikum ini saya kasih bintang 4 karena pas main gem ini tiba tiba keluar ini kesalahan dari saya atau lain nya tapi saya suka gem ini 	Assalamualaikum, I give 4 stars because when I play this game, it suddenly comes out, this is an error from me or something else, but I like this gem	Neutral	Neutral
188	Assalamualaikum maaf developer sebagai pemain saya ingin komen bahwa saat memakai mode main bareng kenapa suka eror: 1. Pas lagi jalan tiba2 bus temen ilang sendiri padahal dia masih adda di dalam game yang sudah dimulai 2. Kata temen saya tiba2 dia disconecting sendiri padahal jaringan lancar, kuota masih banyak, dan untuk filenya sudah di kasih ruang 	Assalamualaikum, sorry the developer as a player, I want to comment that when using the play mode together, why do I get errors: 1. When I was walking, suddenly my friend's bus disappeared by itself even though he was still in the game that had already started 2. My friend said he suddenly disconnected himself even though the network was smooth , there is still a lot of quota, and space has been given for the files	Neutral	Neutral
189	Bagus sih tapi suka reconnect sendiri 	It's good but like to reconnect itself	Neutral	Neutral
190	bagus sih,,tp kalau bisa chat gratisannya jangan sebentar minimal sehari gitu 	it's good,, but if you can chat for free, don't wait for at least a day	Neutral	Neutral
191	bagus tpi kadang macet 	good but sometimes stuck	Neutral	Neutral
192	Bangkrut x kah 	Broke x kah	Neutral	Neutral
193	Bantu Info nya, Bagaimana Cara Menggantikan Kartu Yg Terdaftar Jika Hilang, Dengan Kartu Yg Baru.? 	Help with info, how to replace a registered card if it's lost, with a new card?	Neutral	Neutral
194	Banyak kenalan baru yaa.. cuman perlu hati2 juga.. karena banyak yg nipu jg.. 	Lots of new acquaintances.. you just need to be careful too.. because there are lots of people who are scammed too..	Neutral	Neutral
195	banyak yg chat kaya boot 	many chat like boot	Neutral	Neutral
196	Baru instal ni, moga tdk mngecewakan 	Just installed it, hope it doesn't disappoint	Neutral	Neutral
197	Baru mau dowload jd blm tau 	I just want to download it so I don't know	Neutral	Neutral
198	Baru nyoba ak kasih bintang 2 dulu ntr klo apk nya bagus ak tambahin 	Just tried it, I'll give it 2 stars first, if the apk is good, I'll add it	Neutral	Neutral
199	Belum tau kayak gimana jadi bintang tiga aja 	Don't know how it's like to be three stars	Neutral	Neutral
200	UDAH AH.. CAPEK MAIN NYA.. REDDEEM PULSA AJA DI HAPUS. Hari ini aku kangen indah Lastari. Ku suka indah, aku nitip doa sama PT Indonesia. Semoga aku & indah bisa jadi pasangan yang baik & bener 	ALREADY AH.. TIRED OF PLAYING.. REDEEM PULSE JUST DELETED. Today I miss the beautiful Lastari. I like beauty, I have a prayer for PT Indonesia. Hopefully I & Indah can be a good & true partner	Positive	Love
201	Bagus bangett sangat membantu kalau yang tidak downlod pasti nyesel di hari kemudian 	It's really good, it really helps if those who don't download it will definitely regret it the next day	Positive	Love
